State,SARIMA_Sales_Prediction,LSTM_Predicted_Sales,Weighted_Ensemble,RMSE_Weighted_Ensemble,MSE_Weighted_Ensemble,MAE_Weighted_Ensemble,RMSE_LSTM,MSE_LSTM,MAE_LSTM,RMSE_SARIMA,MSE_SARIMA,MAE_SARIMA,Sales
New Hampshire,0.0,0.0,0.0,179.3687649817217,32173.153851068117,65.98768516209476,179.3687649817217,32173.153851068117,65.98768516209476,179.3687649817217,32173.153851068117,65.98768516209476,65.98768516209476
New Jersey,0.0,0.0,0.0,1194.6993939411427,1427306.6418833334,714.71,1194.6993939411427,1427306.6418833334,714.71,1194.6993939411427,1427306.6418833334,714.71,714.71
New Mexico,0.0,0.0,0.0,347.56360475738126,120800.45935194514,237.97552674352673,347.56360475738126,120800.45935194514,237.97552674352673,347.56360475738126,120800.45935194514,237.97552674352673,237.97552674352673
New York,0.0,0.0,0.0,10328.605080637342,106680082.91176753,7478.707626980311,10328.605080637342,106680082.91176753,7478.707626980311,10328.605080637342,106680082.91176753,7478.707626980311,7478.707626980311
North Carolina,0.0,0.0,0.0,3851.015546674275,14830320.740726963,1856.825858850696,3851.015546674275,14830320.740726963,1856.825858850696,3851.015546674275,14830320.740726963,1856.825858850696,1856.825858850696
North Dakota,0.0,0.0,0.0,257.4929069087794,66302.59710833333,76.65916666666666,257.4929069087794,66302.59710833333,76.65916666666666,257.4929069087794,66302.59710833333,76.65916666666666,76.65916666666666
Ohio,0.0,0.0,0.0,2067.7495003746035,4275587.996299423,1663.9333236215498,2067.7495003746035,4275587.996299423,1663.9333236215498,2067.7495003746035,4275587.996299423,1663.9333236215498,1663.9333236215498
Oklahoma,0.0,0.0,0.0,962.628620535978,926653.861075,518.8258333333334,962.628620535978,926653.861075,518.8258333333334,962.628620535978,926653.861075,518.8258333333334,518.8258333333334
Oregon,0.0,0.0,0.0,622.3393107823103,387306.21774500114,298.90548626159756,622.3393107823103,387306.21774500114,298.90548626159756,622.3393107823103,387306.21774500114,298.90548626159756,298.90548626159756
Pennsylvania,0.0,0.0,0.0,5052.584750780363,25528612.66381826,3895.1522394555645,5052.584750780363,25528612.66381826,3895.1522394555645,5052.584750780363,25528612.66381826,3895.1522394555645,3895.1522394555645
Rhode Island,0.0,0.0,0.0,654.4734796597779,428335.5355779777,328.4812390967707,654.4734796597779,428335.5355779777,328.4812390967707,654.4734796597779,428335.5355779777,328.4812390967707,328.4812390967707
South Carolina,0.0,0.0,0.0,371.90532013089927,138313.5671416667,179.13250000000002,371.90532013089927,138313.5671416667,179.13250000000002,371.90532013089927,138313.5671416667,179.13250000000002,179.13250000000002
South Dakota,0.0,0.0,0.0,325.68277230304955,106069.26817500002,96.1175,325.68277230304955,106069.26817500002,96.1175,325.68277230304955,106069.26817500002,96.1175,96.1175
Tennessee,0.0,0.0,0.0,1942.5173537085125,3773373.669458722,1362.0962401132358,1942.5173537085125,3773373.669458722,1362.0962401132358,1942.5173537085125,3773373.669458722,1362.0962401132358,1362.0962401132358
Texas,0.0,0.0,0.0,4174.798804654394,17428945.05934376,3726.4695272903796,4174.798804654394,17428945.05934376,3726.4695272903796,4174.798804654394,17428945.05934376,3726.4695272903796,3726.4695272903796
Utah,0.0,0.0,0.0,688.0580115482956,473423.8272557945,277.81587802746566,688.0580115482956,473423.8272557945,277.81587802746566,688.0580115482956,473423.8272557945,277.81587802746566,277.81587802746566
Vermont,0.0,0.0,0.0,193.226044936149,37336.304441666674,70.18416666666667,193.226044936149,37336.304441666674,70.18416666666667,193.226044936149,37336.304441666674,70.18416666666667,70.18416666666667
Virginia,0.0,0.0,0.0,932.4074221448061,869383.6008707226,613.1445650408531,932.4074221448061,869383.6008707226,613.1445650408531,932.4074221448061,869383.6008707226,613.1445650408531,613.1445650408531
Washington,0.0,0.0,0.0,7072.940914233675,50026493.176240705,5495.414071538661,7072.940914233675,50026493.176240705,5495.414071538661,7072.940914233675,50026493.176240705,5495.414071538661,5495.414071538661
West Virginia,0.0,0.0,0.0,248.52949736667748,61766.91106133334,100.81866666666667,248.52949736667748,61766.91106133334,100.81866666666667,248.52949736667748,61766.91106133334,100.81866666666667,100.81866666666667
Wisconsin,0.0,0.0,0.0,854.8187073684973,730715.0224671486,461.5252718665408,854.8187073684973,730715.0224671486,461.5252718665408,854.8187073684973,730715.0224671486,461.5252718665408,461.5252718665408
Wyoming,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
