State,Year-Month,SARIMA_Sales_Prediction,LSTM_Predicted_Sales,Weighted_Ensemble,RMSE_Weighted_Ensemble,MSE_Weighted_Ensemble,MAE_Weighted_Ensemble,RMSE_LSTM,MSE_LSTM,MAE_LSTM,RMSE_SARIMA,MSE_SARIMA,MAE_SARIMA,Sales
California,2018-05,0.0,0.0,0.0,10228.403072973482,104620229.42321338,10228.403072973482,10228.403072973482,104620229.42321338,10228.403072973482,10228.403072973482,104620229.42321338,10228.403072973482,10228.403072973482
California,2018-06,0.0,0.0,0.0,9483.945214550922,89945216.83260334,9483.945214550922,9483.945214550922,89945216.83260334,9483.945214550922,9483.945214550922,89945216.83260334,9483.945214550922,9483.945214550922
California,2018-07,0.0,0.0,0.0,13572.831598495479,184221757.60111734,13572.831598495479,13572.831598495479,184221757.60111734,13572.831598495479,13572.831598495479,184221757.60111734,13572.831598495479,13572.831598495479
California,2018-08,0.0,0.0,0.0,14862.582316608517,220896353.1179642,14862.582316608517,14862.582316608517,220896353.1179642,14862.582316608517,14862.582316608517,220896353.1179642,14862.582316608517,14862.582316608517
California,2018-09,0.0,0.0,0.0,17185.090015278565,295327318.83322704,17185.090015278565,17185.090015278565,295327318.83322704,17185.090015278565,17185.090015278565,295327318.83322704,17185.090015278565,17185.090015278565
California,2018-10,0.0,0.0,0.0,17885.430217950943,319888614.08119273,17885.430217950943,17885.430217950943,319888614.08119273,17885.430217950943,17885.430217950943,319888614.08119273,17885.430217950943,17885.430217950943
California,2018-11,0.0,0.0,0.0,14695.282268164794,215951320.9410386,14695.282268164794,14695.282268164794,215951320.9410386,14695.282268164794,14695.282268164794,215951320.9410386,14695.282268164794,14695.282268164794
California,2018-12,0.0,0.0,0.0,18438.56970771287,339980852.86618674,18438.56970771287,18438.56970771287,339980852.86618674,18438.56970771287,18438.56970771287,339980852.86618674,18438.56970771287,18438.56970771287
Colorado,2018-01,0.0,0.0,0.0,337.688,114033.185344,337.688,337.688,114033.185344,337.688,337.688,114033.185344,337.688,337.688
Colorado,2018-02,0.0,0.0,0.0,9.432,88.962624,9.432,9.432,88.962624,9.432,9.432,88.962624,9.432,9.432
Colorado,2018-03,0.0,0.0,0.0,1332.496,1775545.5900160002,1332.496,1332.496,1775545.5900160002,1332.496,1332.496,1775545.5900160002,1332.496,1332.496
Colorado,2018-04,0.0,0.0,0.0,2643.6610000000005,6988943.482921002,2643.6610000000005,2643.6610000000005,6988943.482921002,2643.6610000000005,2643.6610000000005,6988943.482921002,2643.6610000000005,2643.6610000000005
Colorado,2018-05,0.0,0.0,0.0,120.783,14588.533089,120.783,120.783,14588.533089,120.783,120.783,14588.533089,120.783,120.783
Colorado,2018-06,0.0,0.0,0.0,599.672,359606.507584,599.672,599.672,359606.507584,599.672,599.672,359606.507584,599.672,599.672
Colorado,2018-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
