State,Year-Month,SARIMA_Sales_Prediction,LSTM_Predicted_Sales,Weighted_Ensemble,RMSE_Weighted_Ensemble,MSE_Weighted_Ensemble,MAE_Weighted_Ensemble,RMSE_LSTM,MSE_LSTM,MAE_LSTM,RMSE_SARIMA,MSE_SARIMA,MAE_SARIMA,Sales
New Jersey,2018-06,337.08484148460303,465.3993,388.410618635879,138.62061863587903,19215.67591099381,138.62061863587903,215.6092919921875,46487.36679337237,215.6092919921875,87.29484148460304,7620.389349821972,87.29484148460304,249.79
New Jersey,2018-07,9.722834653671493,140.69617,62.11216987789626,55.63216987789626,3094.938325323108,55.63216987789626,134.2161669921875,18013.979482074763,134.2161669921875,3.2428346536714923,10.515976591052707,3.2428346536714923,6.48
New Jersey,2018-08,100.2797667952201,290.91272,176.53294949363595,78.69294949363595,6192.580300007939,78.69294949363595,193.0727197265625,37277.07510261176,193.0727197265625,2.4397667952200948,5.952462015058532,2.4397667952200948,97.84
New Jersey,2018-09,1795.9757756770507,3557.8633,2500.730851148418,877.470851148418,769955.094615129,877.470851148418,1934.60328125,3742689.855823267,1934.60328125,172.71577567705071,29830.739167725304,172.71577567705071,1623.26
New Jersey,2018-10,2427.7996660903164,1285.3475,1970.8188377401273,437.6411622598728,191529.78690417227,437.6411622598728,1123.1124658203125,1261381.6108809826,1123.1124658203125,19.339666090316314,374.0226844849307,19.339666090316314,2408.46
New Jersey,2018-11,39.73680841992223,424.3175,193.56909005683616,147.30909005683617,21699.96801337307,147.30909005683617,378.0575048828125,142927.4769982178,378.0575048828125,6.523191580077771,42.55202839039753,6.523191580077771,46.26
New Jersey,2018-12,1422.4707233317902,2331.7024,1786.1634032373554,731.7634032373553,535477.6783175162,731.7634032373553,1277.302392578125,1631501.4020858023,1277.302392578125,368.0707233317901,135476.05737398716,368.0707233317901,1054.4
New Mexico,2018-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New Mexico,2018-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New Mexico,2018-03,720.8537680078456,755.2804,734.6244129043167,184.53824582814968,34054.36417333061,184.53824582814968,205.19422843164546,42104.6713816583,205.19422843164546,170.76760093167854,29161.57352796102,170.76760093167854,550.086167076167
New Mexico,2018-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New Mexico,2018-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New Mexico,2018-06,593.5145929069723,190.39926,432.26846185990604,7.543691986247779,56.90728878337897,7.543691986247779,249.41289237154444,62206.79088113961,249.41289237154444,153.7024390608185,23624.439773244627,153.7024390608185,439.8121538461538
New Mexico,2018-07,819.0137802016334,82.63269,524.4613458187339,21.388654181266133,457.47452768579325,21.388654181266133,463.2173095703125,214570.27588555875,463.2173095703125,273.16378020163336,74618.45081404626,273.16378020163336,545.85
New Mexico,2018-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New Mexico,2018-09,153.34711784239076,346.42682,230.57899519273914,91.97899519273915,8460.135556665931,91.97899519273915,207.82681884765626,43191.98663233653,207.82681884765626,14.747117842390765,217.47748465736004,14.747117842390765,138.6
New Mexico,2018-10,736.3537374434216,472.52924,630.8239459572638,99.66405404273621,9932.923668233445,99.66405404273621,257.9587641601563,66542.72400703514,257.9587641601563,5.865737443421494,34.40687575515693,5.865737443421494,730.488
New Mexico,2018-11,172.9659261443048,249.64041,203.63571871148523,2.2757187114852115,5.178895653803911,2.2757187114852115,48.28041137695311,2330.9981227278236,48.28041137695311,28.39407385569521,806.2234301226744,28.39407385569521,201.36
New Mexico,2018-12,336.60913332560216,720.38745,490.1204787746582,240.6104787746582,57893.40249617024,240.6104787746582,470.877451171875,221725.57402212152,470.877451171875,87.09913332560217,7586.259026071022,87.09913332560217,249.51
New York,2018-01,1589.7149855318314,3521.7986,2362.548473740974,1243.8424737409737,1547144.0994820648,1243.8424737409737,2403.092583984375,5774853.9672007,2403.092583984375,471.0089855318313,221849.46445172487,471.0089855318313,1118.7060000000001
New York,2018-02,1604.2954203271622,3783.7588,2476.0807922353597,1852.3467922353598,3431188.6387046273,1852.3467922353598,3160.0247890625,9985756.667489499,3160.0247890625,980.5614203271622,961500.6990340216,980.5614203271622,623.734
New York,2018-03,5143.6026868147765,7409.937,6050.136465604491,2125.0342985283237,4515770.769921765,2125.0342985283237,3484.834844642583,12144073.894435095,3484.834844642583,1218.5005197386095,1484743.5166032615,1218.5005197386095,3925.102167076167
New York,2018-04,3996.0218846305884,6062.526,4822.623628825228,2863.2316288252277,8198095.360305167,2863.2316288252277,4103.13387890625,16835707.62822825,4103.13387890625,2036.6298846305883,4147861.2869704035,2036.6298846305883,1959.392
New York,2018-05,5787.90413094984,6437.4473,6047.721482476154,2810.051482476154,7896389.334166431,2810.051482476154,3199.777265625,10238574.549610602,3199.777265625,2550.2341309498397,6503694.122661484,2550.2341309498397,3237.67
New York,2018-06,13434.75726356998,10209.802,12144.775012438862,2189.2160437024086,4792666.886004026,2189.2160437024086,254.2427890760464,64639.39579716702,254.2427890760464,3479.1982948335262,12104820.774772517,3479.1982948335262,9955.558968736454
New York,2018-07,3720.7919074828346,5372.66,4381.539353474076,1901.734603180993,3616594.500935969,1901.734603180993,2892.855405956917,8368612.399774158,2892.855405956917,1240.9871571897515,1540049.1243099011,1240.9871571897515,2479.804750293083
New York,2018-08,6835.968388851936,5103.961,6143.165383897099,526.4866161029013,277188.15693548374,526.4866161029013,1565.6910625,2451388.503192379,1565.6910625,166.3163888519357,27661.14120074828,166.3163888519357,6669.652
New York,2018-09,10938.535108513659,7909.4478,9726.900117842571,159.6956484907205,25502.700146871757,159.6956484907205,1977.148012427042,3909114.2630442027,1977.148012427042,1051.939342180367,1106576.3796268634,1051.939342180367,9886.595766333292
New York,2018-10,25449.823465104768,10934.438,19643.669469687862,5603.422651992165,31398345.416858908,5603.422651992165,14312.653645117527,204852054.36509603,14312.653645117527,202.73134342474077,41099.997606800185,202.73134342474077,25247.092121680027
